Time (s),Temperature (c),Pressure (Pa)
3.100000000000000000e+01,2.410000000000000142e+01,1.000010000000000000e+05
3.100000000000000000e+01,2.410000000000000142e+01,9.999700000000000000e+04
3.100000000000000000e+01,2.410000000000000142e+01,9.999500000000000000e+04
3.100000000000000000e+01,2.410000000000000142e+01,1.000000000000000000e+05
3.100000000000000000e+01,2.410000000000000142e+01,9.999400000000000000e+04
3.100000000000000000e+01,2.410000000000000142e+01,9.998800000000000000e+04
3.100000000000000000e+01,2.410000000000000142e+01,9.999400000000000000e+04
3.100000000000000000e+01,2.410000000000000142e+01,9.999600000000000000e+04
3.100000000000000000e+01,2.410000000000000142e+01,9.999400000000000000e+04
3.100000000000000000e+01,2.410000000000000142e+01,9.999000000000000000e+04
3.100000000000000000e+01,2.410000000000000142e+01,9.999900000000000000e+04
3.200000000000000000e+01,2.410000000000000142e+01,9.999700000000000000e+04
3.200000000000000000e+01,2.410000000000000142e+01,1.000040000000000000e+05
3.200000000000000000e+01,2.410000000000000142e+01,9.999500000000000000e+04
3.200000000000000000e+01,2.410000000000000142e+01,9.999700000000000000e+04
3.200000000000000000e+01,2.410000000000000142e+01,9.999300000000000000e+04
3.200000000000000000e+01,2.410000000000000142e+01,9.999400000000000000e+04
3.200000000000000000e+01,2.410000000000000142e+01,9.999800000000000000e+04
3.200000000000000000e+01,2.410000000000000142e+01,9.999500000000000000e+04
3.200000000000000000e+01,2.410000000000000142e+01,9.999100000000000000e+04
3.200000000000000000e+01,2.410000000000000142e+01,9.999300000000000000e+04
3.200000000000000000e+01,2.410000000000000142e+01,9.999200000000000000e+04
3.300000000000000000e+01,2.410000000000000142e+01,9.999000000000000000e+04
3.300000000000000000e+01,2.410000000000000142e+01,9.999400000000000000e+04
3.300000000000000000e+01,2.410000000000000142e+01,9.999400000000000000e+04
3.300000000000000000e+01,2.410000000000000142e+01,9.999200000000000000e+04
3.300000000000000000e+01,2.410000000000000142e+01,9.999600000000000000e+04
3.300000000000000000e+01,2.410000000000000142e+01,9.999300000000000000e+04
3.300000000000000000e+01,2.410000000000000142e+01,9.998600000000000000e+04
3.300000000000000000e+01,2.410000000000000142e+01,9.998700000000000000e+04
3.300000000000000000e+01,2.410000000000000142e+01,9.999400000000000000e+04
3.300000000000000000e+01,2.410000000000000142e+01,9.998800000000000000e+04
3.300000000000000000e+01,2.410000000000000142e+01,9.999100000000000000e+04
3.400000000000000000e+01,2.410000000000000142e+01,9.998700000000000000e+04
3.400000000000000000e+01,2.410000000000000142e+01,9.999200000000000000e+04
